position,name,fdpts,salary,team,matchup,score,mins,line,date,cleanname,location
PF,"Young, Thaddeus^",23.1,6800.0,min,@ lal,120-119,36,22pt 3rb 1as 4to 8-13fg 6-8ft,2014-11-28,Thaddeus Young,Away
PF,"Boozer, Carlos^",23,6700.0,lal,v min,119-120,22,15pt 5rb 1st 6-9fg 3-4ft,2014-11-28,Carlos Boozer,Home
SF,"Hill, Solomon^",22.6,5200.0,ind,v orl,98-83,30,11pt 3rb 4as 1st 1trey 4-11fg 2-2ft,2014-11-28,Solomon Hill,Home
SF,"Carroll, DeMarre^",22.6,5400.0,atl,v nor,100-91,33,19pt 3rb 1st 2to 1trey 6-9fg 6-6ft,2014-11-28,DeMarre Carroll,Home
SF,"Parker, Jabari^",22.5,5500.0,mil,@ det,104-88,26,8pt 5rb 5as 2st 3to 3-8fg 2-2ft,2014-11-28,Jabari Parker,Away
PF,"Faried, Kenneth^",22.3,6e3,den,v pho,122-97,20,11pt 9rb 1as 1to 3-6fg 5-5ft,2014-11-28,Kenneth Faried,Home
PF,"Ibaka, Serge^",21.7,7700.0,okc,v nyk,105-78,20,14pt 6rb 1as 1to 1trey 5-11fg 3-4ft,2014-11-28,Serge Ibaka,Home
PF,"Scola, Luis",21.6,5200.0,ind,v orl,98-83,22,5pt 8rb 2as 3st 2to 2-8fg 1-2ft,2014-11-28,Luis Scola,Home
SF,"Lamb, Jeremy",21.6,5400.0,okc,v nyk,105-78,22,13pt 3rb 2as 1st 3trey 3-5fg 4-4ft,2014-11-28,Jeremy Lamb,Home
PF,"Davis, Ed",21.5,4800.0,lal,v min,119-120,15,6pt 10rb 1as 1bl 3-3fg 0-2ft,2014-11-28,Ed Davis,Home
SF,"Chandler, Wilson^",21.4,5600.0,den,v pho,122-97,25,11pt 7rb 2st 2to 3trey 4-10fg 0-0ft,2014-11-28,Wilson Chandler,Home
SF,"Aminu, Al-Farouq",21.4,3500.0,dal,@ tor,106-102,24,14pt 2rb 2as 1bl 2trey 5-6fg 2-4ft,2014-11-28,Al Aminu-Farouq,Away
SF,"Middleton, Khris",20.5,4200.0,mil,@ det,104-88,23,12pt 5rb 1as 1st 1to 2trey 4-7fg 2-2ft,2014-11-28,Khris Middleton,Away
SF,"Barnes, Harrison^",20.3,4900.0,gsw,@ cha,106-101,29,9pt 9rb 1as 1to 1trey 3-8fg 2-2ft,2014-11-28,Harrison Barnes,Away
SF,"Harris, Tobias^",20.3,7200.0,orl,@ ind,83-98,31,14pt 4rb 1as 1st 2to 5-12fg 4-4ft,2014-11-28,Tobias Harris,Away
PF,"Diaw, Boris^",19.8,4700.0,sas,v sac,112-104,33,9pt 4rb 4as 1trey 3-9fg 2-2ft,2014-11-28,Boris Diaw,Home
SF,"Batum, Nicolas^",19.8,6600.0,por,v mem,99-112,35,6pt 4rb 2as 1st 2bl 3-11fg 0-0ft,2014-11-28,Nicolas Batum,Home
PF,"Morris, Markieff^",19.1,6800.0,pho,@ den,97-122,23,7pt 3rb 1as 2st 2bl 1to 3-10fg 1-1ft,2014-11-28,Markieff Morris,Away
SF,"Salmons, John",19,3500.0,nor,@ atl,91-100,25,9pt 4as 1st 1bl 3trey 3-9fg 0-0ft,2014-11-28,John Salmons,Away
SF,"Pondexter, Quincy",19,3500.0,mem,@ por,112-99,23,10pt 5rb 2as 2trey 4-5fg 0-2ft,2014-11-28,Quincy Pondexter,Away
SF,"Turner, Evan",18.4,4500.0,bos,v chi,102-109,23,13pt 2rb 2as 2st 4to 4-11fg 5-5ft,2014-11-28,Evan Turner,Home
PF,"Thompson, Jason^",18.3,3700.0,sac,@ sas,104-112,30,4pt 9rb 1as 2bl 2to 2-4fg 0-0ft,2014-11-28,Jason Thompson,Away
SF,"Green, Jeff^",18.3,6800.0,bos,v chi,102-109,26,10pt 4rb 3as 1to 5-9fg 0-0ft,2014-11-28,Jeff Green,Home
SF,"Singler, Kyle",18.2,3500.0,det,v mil,88-104,26,11pt 1rb 4as 1trey 5-9fg 0-0ft,2014-11-28,Kyle Singler,Home
PF,"Frye, Channing^",18,5e3,orl,@ ind,83-98,36,9pt 5rb 2as 1st 1bl 4to 3trey 3-7fg 0-1ft,2014-11-28,Channing Frye,Away
SF,"Barnes, Matt^",16,3500.0,lac,@ hou,102-85,20,2pt 5rb 4as 1bl 1-2fg 0-0ft,2014-11-28,Matt Barnes,Away
PF,"Motiejunas, Donatas^",15.4,5100.0,hou,v lac,85-102,26,6pt 7rb 2as 2to 3-9fg 0-2ft,2014-11-28,Donatas Motiejunas,Home
SF,"Tucker, P.J.",15.1,4800.0,pho,@ den,97-122,20,11pt 3rb 1as 1to 3trey 3-4fg 2-4ft,2014-11-28,P Tucker.J.,Away
SF,"Hummel, Robbie",14.4,3500.0,min,@ lal,120-119,18,7pt 2rb 2st 1bl 1to 1trey 3-5fg 0-0ft,2014-11-28,Robbie Hummel,Away
SF,"Gee, Alonzo",14.3,3500.0,den,v pho,122-97,9,9pt 4rb 1as 1to 3-5fg 3-4ft,2014-11-28,Alonzo Gee,Home
PF,"Morris, Marcus^",14.3,4300.0,pho,@ den,97-122,14,8pt 4rb 1as 3-4fg 2-2ft,2014-11-28,Marcus Morris,Away
SF,"Thomas, Lance^",14.2,4e3,okc,v nyk,105-78,19,6pt 6rb 1st 1to 3-7fg 0-0ft,2014-11-28,Lance Thomas,Home
PF,"Williams, Derrick",13.8,3500.0,sac,@ sas,104-112,17,9pt 4rb 1trey 3-6fg 2-2ft,2014-11-28,Derrick Williams,Away
SF,"Iguodala, Andre",13.5,4100.0,gsw,@ cha,106-101,32,3pt 5rb 3as 1st 2to 1trey 1-3fg 0-0ft,2014-11-28,Andre Iguodala,Away
SF,"Warren, T.J.",13.4,3500.0,pho,@ den,97-122,23,11pt 2rb 1st 2to 1trey 5-9fg 0-0ft,2014-11-28,T Warren.J.,Away
PF,"Monroe, Greg^",13.4,6900.0,det,v mil,88-104,23,5pt 2rb 2as 2st 1to 2-3fg 1-2ft,2014-11-28,Greg Monroe,Home
PF,"Bennett, Anthony",13.1,5e3,min,@ lal,120-119,20,11pt 3rb 1as 3to 5-8fg 1-3ft,2014-11-28,Anthony Bennett,Away
SF,"Green, Gerald",12.5,4900.0,pho,@ den,97-122,20,12pt 1as 1to 2trey 3-10fg 4-4ft,2014-11-28,Gerald Green,Away
SF,"Copeland, Chris",12.4,5e3,ind,v orl,98-83,15,5pt 2rb 2as 1bl 1trey 2-5fg 0-0ft,2014-11-28,Chris Copeland,Home
SF,"Casspi, Omri",11.4,4200.0,sac,@ sas,104-112,13,8pt 2rb 2as 2to 2-4fg 4-4ft,2014-11-28,Omri Casspi,Away
SF,"Acy, Quincy^",11.2,3800.0,nyk,@ okc,78-105,23,5pt 6rb 1to 1-3fg 3-4ft,2014-11-28,Quincy Acy,Away
SF,"Henderson, Gerald^",10.9,3800.0,cha,v gsw,101-106,16,6pt 2rb 1as 1bl 1to 3-5fg 0-0ft,2014-11-28,Gerald Henderson,Home
PF,"Arthur, Darrell",10.6,4e3,den,v pho,122-97,19,6pt 3rb 1st 1to 3-5fg 0-0ft,2014-11-28,Darrell Arthur,Home
SF,"Muhammad, Shabazz",9.5,4e3,min,@ lal,120-119,12,4pt 1as 2st 1-5fg 2-2ft,2014-11-28,Shabazz Muhammad,Away
SF,"Wiggins, Andrew^",9.5,5600.0,min,@ lal,120-119,30,3pt 5rb 1as 1st 3to 1-6fg 1-1ft,2014-11-28,Andrew Wiggins,Away
SF,"Ross, Terrence^",9.2,4800.0,tor,v dal,102-106,23,7pt 1rb 1st 1to 1trey 3-8fg 0-0ft,2014-11-28,Terrence Ross,Home
SF,"Garcia, Francisco",9.2,3500.0,hou,v lac,85-102,20,8pt 1rb 2trey 3-8fg 0-0ft,2014-11-28,Francisco Garcia,Home
PF,"Randolph, Shavlik",8.7,3500.0,pho,@ den,97-122,6,4pt 1rb 1as 1bl 2-3fg 0-0ft,2014-11-28,Shavlik Randolph,Away
PF,"Leuer, Jon",8.4,3600.0,mem,@ por,112-99,14,7pt 2rb 1to 1trey 3-5fg 0-0ft,2014-11-28,Jon Leuer,Away
SF,"Budinger, Chase",8.1,3500.0,min,@ lal,120-119,16,3pt 3rb 1as 1trey 1-3fg 0-0ft,2014-11-28,Chase Budinger,Away
SF,"Dunleavy, Mike^",7.8,5200.0,chi,@ bos,109-102,27,4pt 4rb 1to 1-5fg 2-3ft,2014-11-28,Mike Dunleavy,Away
PF,"Tolliver, Anthony",7.4,3500.0,pho,@ den,97-122,15,3pt 2rb 1st 1trey 1-5fg 0-0ft,2014-11-28,Anthony Tolliver,Away
SF,"Papanikolaou, Kostas",7.4,4300.0,hou,v lac,85-102,23,2pt 2rb 4as 3to 1-5fg 0-0ft,2014-11-28,Kostas Papanikolaou,Home
PF,"Wear, Travis",7.2,3500.0,nyk,@ okc,78-105,15,2pt 1rb 2as 1st 1to 1-1fg 0-0ft,2014-11-28,Travis Wear,Away
SF,"Miles, C.J.",6.6,3900.0,ind,v orl,98-83,21,4pt 3rb 1to 1-8fg 2-2ft,2014-11-28,C Miles.J.,Home
SF,"Johnson, James",6.3,4100.0,tor,v dal,102-106,17,2pt 4rb 1as 2to 1-2fg 0-0ft,2014-11-28,James Johnson,Home
PF,"Jerebko, Jonas",6.2,3500.0,det,v mil,88-104,12,0pt 1rb 2st 1bl 1to 0-4fg 0-0ft,2014-11-28,Jonas Jerebko,Home
SF,"Turkoglu, Hedo",5.4,3500.0,lac,@ hou,102-85,13,0pt 2rb 2as 0-0fg 0-0ft,2014-11-28,Hedo Turkoglu,Away
PF,"Smith, Jason",5.2,3500.0,nyk,@ okc,78-105,16,8pt 1rb 4to 3-6fg 2-2ft,2014-11-28,Jason Smith,Away
PF,"Jerrett, Grant",4.7,3500.0,okc,v nyk,105-78,9,3pt 1rb 1as 1to 1trey 1-5fg 0-0ft,2014-11-28,Grant Jerrett,Home
PF,"Davis, Glen",4.4,3500.0,lac,@ hou,102-85,10,2pt 2rb 1-5fg 0-0ft,2014-11-28,Glen Davis,Away
SF,"Bullock, Reggie",4.2,3500.0,lac,@ hou,102-85,5,3pt 1rb 1-1fg 1-1ft,2014-11-28,Reggie Bullock,Away
SF,"Carter, Vince",4,3600.0,mem,@ por,112-99,9,2pt 1st 1-6fg 0-0ft,2014-11-28,Vince Carter,Away
SF,"Crowder, Jae",3,3500.0,dal,@ tor,106-102,5,3pt 1trey 1-1fg 0-0ft,2014-11-28,Jae Crowder,Away
SF,"Butler, Caron",2.9,3500.0,det,v mil,88-104,19,0pt 2rb 1as 1to 0-3fg 0-0ft,2014-11-28,Caron Butler,Home
PF,"Scott, Mike",2.4,4100.0,atl,v nor,100-91,4,0pt 2rb 0-3fg 0-0ft,2014-11-28,Mike Scott,Home
PF,"Collison, Nick",1.6,3500.0,okc,v nyk,105-78,19,0pt 3rb 2to 0-3fg 0-0ft,2014-11-28,Nick Collison,Home
SF,"McDermott, Doug",1,3500.0,chi,@ bos,109-102,2,1pt 0-0fg 1-2ft,2014-11-28,Doug McDermott,Away
PF,"Nicholson, Andrew",0,3500.0,orl,@ ind,83-98,2,0pt 0-0fg 0-0ft,2014-11-28,Andrew Nicholson,Away
PF,"Ayres, Jeff",0,3500.0,sas,v sac,112-104,1,0pt 0-0fg 0-0ft,2014-11-28,Jeff Ayres,Home
PF,"Stokes, Jarnell",0,3500.0,mem,@ por,112-99,1,0pt 0-0fg 0-0ft,2014-11-28,Jarnell Stokes,Away
SF,"Babbitt, Luke",-1,3500.0,nor,@ atl,91-100,4,0pt 1to 0-0fg 0-0ft,2014-11-28,Luke Babbitt,Away
C,"Drummond, Andre^",51,7100.0,det,v mil,88-104,38,26pt 20rb 1st 1bl 3to 12-19fg 2-4ft,2014-11-28,Andre Drummond,Home
C,"Noah, Joakim^",49.8,8e3,chi,@ bos,109-102,35,15pt 14rb 6as 6bl 3to 4-12fg 7-8ft,2014-11-28,Joakim Noah,Away
C,"Gasol, Marc^",45.9,8500.0,mem,@ por,112-99,36,26pt 7rb 9as 1bl 4to 9-15fg 8-9ft,2014-11-28,Marc Gasol,Away
C,"Allen, Lavoy",32.8,4500.0,ind,v orl,98-83,28,10pt 14rb 2as 1st 1bl 1to 5-11fg 0-0ft,2014-11-28,Lavoy Allen,Home
C,"Horford, Al^",32,6700.0,atl,v nor,100-91,34,10pt 10rb 4as 3bl 2to 5-15fg 0-0ft,2014-11-28,Al Horford,Home
C,"Chandler, Tyson^",31.5,6200.0,dal,@ tor,106-102,35,11pt 10rb 1as 4bl 1to 5-7fg 1-2ft,2014-11-28,Tyson Chandler,Away
C,"Jefferson, Al^",31.5,8600.0,cha,v gsw,101-106,34,18pt 5rb 3as 2bl 1to 8-16fg 2-2ft,2014-11-28,Al Jefferson,Home
C,"Kaman, Chris",31.2,5e3,por,v mem,99-112,25,16pt 11rb 2bl 2to 7-16fg 2-3ft,2014-11-28,Chris Kaman,Home
C,"Vucevic, Nikola^",30.4,8900.0,orl,@ ind,83-98,35,16pt 7rb 1st 3bl 2to 7-15fg 2-2ft,2014-11-28,Nikola Vucevic,Away
C,"Jordan, DeAndre^",27.6,6900.0,lac,@ hou,102-85,33,7pt 13rb 3bl 1to 3-7fg 1-3ft,2014-11-28,DeAndre Jordan,Away
C,"Valanciunas, Jonas^",25.6,6e3,tor,v dal,102-106,28,8pt 13rb 1st 2-5fg 4-4ft,2014-11-28,Jonas Valanciunas,Home
C,"Dieng, Gorgui^",24.4,6100.0,min,@ lal,120-119,23,4pt 7rb 8as 1-2fg 2-2ft,2014-11-28,Gorgui Dieng,Away
C,"Bogut, Andrew^",23.5,6600.0,gsw,@ cha,106-101,24,6pt 5rb 5as 3bl 2to 2-4fg 2-2ft,2014-11-28,Andrew Bogut,Away
C,"Asik, Omer^",23.2,5300.0,nor,@ atl,91-100,32,10pt 11rb 1bl 2to 4-7fg 2-2ft,2014-11-28,Omer Asik,Away
C,"Dalembert, Samuel^",22.9,3600.0,nyk,@ okc,78-105,19,9pt 7rb 1as 2bl 4-10fg 1-1ft,2014-11-28,Samuel Dalembert,Away
C,"Hollins, Ryan^",22.2,3500.0,sac,@ sas,104-112,26,15pt 6rb 1bl 2to 5-7fg 5-6ft,2014-11-28,Ryan Hollins,Away
C,"Adams, Steven^",21.6,4e3,okc,v nyk,105-78,24,6pt 13rb 1st 2to 3-9fg 0-0ft,2014-11-28,Steven Adams,Home
C,"Hawes, Spencer",21.6,4100.0,lac,@ hou,102-85,18,7pt 8rb 2as 1st 1trey 3-7fg 0-0ft,2014-11-28,Spencer Hawes,Away
C,"Biyombo, Bismack",21.6,3500.0,cha,v gsw,101-106,14,8pt 8rb 2bl 4-8fg 0-0ft,2014-11-28,Bismack Biyombo,Home
C,"Mozgov, Timofey^",21.1,4900.0,den,v pho,122-97,21,13pt 3rb 1as 2bl 1to 4-5fg 5-5ft,2014-11-28,Timofey Mozgov,Home
C,"Bonner, Matt",16.8,3700.0,sas,v sac,112-104,15,8pt 4rb 1st 1bl 2trey 3-4fg 0-0ft,2014-11-28,Matt Bonner,Home
C,"Lopez, Robin^",15.9,5800.0,por,v mem,99-112,23,6pt 7rb 1as 3-10fg 0-0ft,2014-11-28,Robin Lopez,Home
C,"Perkins, Kendrick",14.2,3700.0,okc,v nyk,105-78,20,8pt 6rb 1to 3-6fg 2-2ft,2014-11-28,Kendrick Perkins,Home
C,"Baynes, Aron",14.1,3700.0,sas,v sac,112-104,14,10pt 3rb 1as 1to 5-6fg 0-0ft,2014-11-28,Aron Baynes,Home
C,"O'Quinn, Kyle",13.4,4600.0,orl,@ ind,83-98,13,9pt 2rb 1bl 3-4fg 3-3ft,2014-11-28,O'Kyle Quinn,Away
C,"Hill, Jordan^",12.6,6600.0,lal,v min,119-120,31,8pt 3rb 2as 2to 3-7fg 2-2ft,2014-11-28,Jordan Hill,Home
C,"Dorsey, Joey",12.4,3500.0,hou,v lac,85-102,16,4pt 7rb 1bl 2to 2-4fg 0-0ft,2014-11-28,Joey Dorsey,Home
C,"Aldrich, Cole",12.2,3500.0,nyk,@ okc,78-105,12,4pt 1rb 2as 2bl 2-3fg 0-0ft,2014-11-28,Cole Aldrich,Away
C,"Zeller, Tyler",11.3,3700.0,bos,v chi,102-109,17,6pt 4rb 1as 1to 2-3fg 2-2ft,2014-11-28,Tyler Zeller,Home
C,"Mahinmi, Ian^",11,3900.0,ind,v orl,98-83,19,6pt 5rb 1to 3-5fg 0-0ft,2014-11-28,Ian Mahinmi,Home
C,"Sanders, Larry^",9.6,5500.0,mil,@ det,104-88,11,6pt 3rb 1st 2to 3-5fg 0-0ft,2014-11-28,Larry Sanders,Away
C,"Koufos, Kosta",8.9,4100.0,mem,@ por,112-99,14,2pt 2rb 1as 2bl 1to 1-1fg 0-0ft,2014-11-28,Kosta Koufos,Away
C,"Antic, Pero",8.9,3500.0,atl,v nor,100-91,22,5pt 2rb 1as 1trey 2-3fg 0-0ft,2014-11-28,Pero Antic,Home
C,"Len, Alex",8.6,3900.0,pho,@ den,97-122,19,0pt 8rb 1to 0-2fg 0-0ft,2014-11-28,Alex Len,Away
C,"Olynyk, Kelly^",8.1,5300.0,bos,v chi,102-109,19,4pt 3rb 1as 1to 1-8fg 2-2ft,2014-11-28,Kelly Olynyk,Home
C,"Maxiell, Jason",7.9,3500.0,cha,v gsw,101-106,15,2pt 2rb 1as 1st 1-4fg 0-0ft,2014-11-28,Jason Maxiell,Home
C,"Wright, Brandan",7.4,4600.0,dal,@ tor,106-102,15,4pt 2rb 1bl 1to 2-7fg 0-0ft,2014-11-28,Brandan Wright,Away
C,"Sacre, Robert",6,3700.0,lal,v min,119-120,8,6pt 3-5fg 0-0ft,2014-11-28,Robert Sacre,Home
C,"Freeland, Joel",6,3500.0,por,v mem,99-112,10,0pt 5rb 0-0fg 0-0ft,2014-11-28,Joel Freeland,Home
C,"Nurkic, Jusuf",5.7,3500.0,den,v pho,122-97,6,0pt 1rb 1as 1st 1bl 1to 0-2fg 0-0ft,2014-11-28,Jusuf Nurkic,Home
C,"Withey, Jeff",2.4,3500.0,nor,@ atl,91-100,3,0pt 2rb 0-1fg 0-0ft,2014-11-28,Jeff Withey,Away
C,"Hayes, Chuck",1.7,3500.0,tor,v dal,102-106,5,0pt 1rb 1as 1to 0-0fg 0-0ft,2014-11-28,Chuck Hayes,Home
C,"Udoh, Ekpe",1.2,3500.0,lac,@ hou,102-85,3,0pt 1rb 0-0fg 0-0ft,2014-11-28,Ekpe Udoh,Away
C,"Plumlee, Miles^",-0.8,3900.0,pho,@ den,97-122,17,0pt 1rb 2to 0-1fg 0-2ft,2014-11-28,Miles Plumlee,Away
C,"Whittington, Shayne",-1,3500.0,ind,v orl,98-83,2,0pt 1to 0-0fg 0-0ft,2014-11-28,Shayne Whittington,Home
SG,"Harden, James^",58.2,10500.0,hou,@ mil,117-103,38,34pt 6rb 8as 4st 1bl 5to 4trey 9-14fg 12-13ft,2014-11-29,James Harden,Away
PG,"Carter-Williams, Michael^",51,7700.0,phi,v dal,103-110,35,18pt 10rb 16as 1st 5to 4-13fg 10-12ft,2014-11-29,Carter-Michael Williams,Home
PG,"Irving, Kyrie^",48.5,7900.0,cle,v ind,109-97,36,24pt 10rb 5as 3bl 1to 3trey 9-17fg 3-4ft,2014-11-29,Kyrie Irving,Home
PG,"Paul, Chris^",37.6,1e4,lac,@ uta,112-96,34,17pt 3rb 10as 2st 2to 1trey 7-13fg 2-2ft,2014-11-29,Chris Paul,Away
SG,"Terry, Jason^",32.7,3500.0,hou,@ mil,117-103,35,18pt 6rb 5as 4trey 7-15fg 0-0ft,2014-11-29,Jason Terry,Away
SG,"Antetokounmpo, Giannis^",32.4,5700.0,mil,v hou,103-117,35,17pt 7rb 2as 2bl 7-12fg 3-3ft,2014-11-29,Giannis Antetokounmpo,Home
SG,"Ellis, Monta^",32.3,7300.0,dal,@ phi,110-103,36,18pt 4rb 5as 3st 4to 6-14fg 6-7ft,2014-11-29,Monta Ellis,Away
PG,"Shved, Alexey",30.3,3500.0,phi,v dal,103-110,26,18pt 4rb 5as 2st 4to 2trey 5-9fg 6-8ft,2014-11-29,Alexey Shved,Home
PG,"Wall, John^",28.1,8800.0,was,v nor,83-80,34,11pt 3rb 7as 3st 3to 5-14fg 1-2ft,2014-11-29,John Wall,Home
PG,"Harris, Devin^",28,4100.0,dal,@ phi,110-103,31,15pt 5rb 4as 1st 1bl 3to 1trey 6-13fg 2-3ft,2014-11-29,Devin Harris,Away
SG,"Hairston, P.J.",25.3,3500.0,cha,@ atl,75-105,27,15pt 4rb 1as 1st 1bl 3trey 5-13fg 2-2ft,2014-11-29,P Hairston.J.,Away
SG,"Evans, Tyreke^",25,7500.0,nor,@ was,80-83,35,4pt 5rb 4as 4st 1bl 1to 2-15fg 0-0ft,2014-11-29,Tyreke Evans,Away
PG,"Holiday, Jrue^",24.4,7200.0,nor,@ was,80-83,34,17pt 7rb 2as 4to 3trey 7-18fg 0-0ft,2014-11-29,Jrue Holiday,Away
SG,"Redick, J.J.^",23.1,4e3,lac,@ uta,112-96,31,13pt 3rb 3as 1st 1trey 4-9fg 4-5ft,2014-11-29,J Redick.J.,Away
SG,"Crawford, Jamal",22.4,6200.0,lac,@ uta,112-96,28,22pt 2rb 1st 4to 4trey 8-17fg 2-2ft,2014-11-29,Jamal Crawford,Away
SG,"Korver, Kyle^",21.8,5300.0,atl,v cha,105-75,22,12pt 4rb 2as 1bl 2trey 4-5fg 2-2ft,2014-11-29,Kyle Korver,Home
SG,"Burks, Alec^",21.4,5800.0,uta,v lac,96-112,28,12pt 2rb 4as 1st 1to 1trey 4-6fg 3-5ft,2014-11-29,Alec Burks,Home
PG,"Teague, Jeff^",21.4,7300.0,atl,v cha,105-75,21,6pt 2rb 10as 1bl 4to 2trey 2-7fg 0-0ft,2014-11-29,Jeff Teague,Home
PG,"Mack, Shelvin",20.4,3700.0,atl,v cha,105-75,24,9pt 2rb 6as 2trey 3-8fg 1-1ft,2014-11-29,Shelvin Mack,Home
PG,"Knight, Brandon^",20.2,7300.0,mil,v hou,103-117,29,12pt 1rb 2as 2st 2trey 4-8fg 2-2ft,2014-11-29,Brandon Knight,Home
SG,"Beal, Bradley^",19.7,6900.0,was,v nor,83-80,35,12pt 1rb 3as 2st 2to 2trey 5-11fg 0-2ft,2014-11-29,Bradley Beal,Home
PG,"Walker, Kemba^",19.4,7200.0,cha,@ atl,75-105,25,4pt 2rb 6as 1st 1bl 2-9fg 0-0ft,2014-11-29,Kemba Walker,Away
PG,"Barea, Jose",19.3,3900.0,dal,@ phi,110-103,23,7pt 4rb 3as 2st 1to 2-8fg 3-4ft,2014-11-29,Jose Barea,Away
PG,"Watson, C.J.",17.3,3700.0,ind,@ cle,97-109,19,8pt 4rb 3as 1trey 2-6fg 3-3ft,2014-11-29,C Watson.J.,Away
SG,"Bazemore, Kent",15.6,3500.0,atl,v cha,105-75,22,0pt 8rb 2as 2st 1to 0-3fg 0-0ft,2014-11-29,Kent Bazemore,Home
SG,"Stuckey, Rodney^",14.9,5100.0,ind,@ cle,97-109,23,9pt 2rb 3as 1to 2-6fg 5-5ft,2014-11-29,Rodney Stuckey,Away
PG,"Schroder, Dennis",14.7,3800.0,atl,v cha,105-75,17,12pt 1rb 1as 2trey 4-8fg 2-2ft,2014-11-29,Dennis Schroder,Home
PG,"Pargo, Jannero",14,3500.0,cha,@ atl,75-105,17,10pt 4as 2to 2trey 4-9fg 0-0ft,2014-11-29,Jannero Pargo,Away
PG,"Miller, Andre",13.9,3600.0,was,v nor,83-80,14,4pt 2rb 5as 2-6fg 0-0ft,2014-11-29,Andre Miller,Home
PG,"Farmar, Jordan",13.4,3500.0,lac,@ uta,112-96,17,10pt 2rb 2as 2to 2trey 4-6fg 0-0ft,2014-11-29,Jordan Farmar,Away
SG,"Stephenson, Lance^",12.1,6700.0,cha,@ atl,75-105,23,6pt 3rb 3as 2to 3-9fg 0-0ft,2014-11-29,Lance Stephenson,Away
PG,"Sloan, Donald^",10,5400.0,ind,@ cle,97-109,23,2pt 6as 1to 1-8fg 0-0ft,2014-11-29,Donald Sloan,Away
SG,"Mayo, O.J.^",9.9,5300.0,mil,v hou,103-117,22,6pt 2rb 1as 2-10fg 2-2ft,2014-11-29,O Mayo.J.,Home
SG,"Harris, Joe",9.1,3500.0,cle,v ind,109-97,13,5pt 3rb 1as 1to 1trey 2-2fg 0-0ft,2014-11-29,Joe Harris,Home
PG,"Bayless, Jerryd",8.7,3500.0,mil,v hou,103-117,21,4pt 1rb 3as 1to 2-8fg 0-0ft,2014-11-29,Jerryd Bayless,Home
SG,"Rivers, Austin^",8.7,3500.0,nor,@ was,80-83,29,4pt 1rb 3as 1to 1-5fg 2-4ft,2014-11-29,Austin Rivers,Away
SG,"Waiters, Dion",6.7,4400.0,cle,v ind,109-97,22,5pt 1rb 1as 1to 1-5fg 3-4ft,2014-11-29,Dion Waiters,Home
PG,"Burke, Trey^",6.7,6e3,uta,v lac,96-112,29,3pt 1rb 3as 2to 1trey 1-6fg 0-1ft,2014-11-29,Trey Burke,Home
PG,"Exum, Dante",5.7,3500.0,uta,v lac,96-112,19,5pt 1rb 1as 2to 1trey 2-7fg 0-0ft,2014-11-29,Dante Exum,Home
PG,"Marshall, Kendall",5,3600.0,mil,v hou,103-117,19,0pt 4as 1st 3to 0-3fg 0-0ft,2014-11-29,Kendall Marshall,Home
PG,"Cherry, Will",4,3500.0,cle,v ind,109-97,14,2pt 1st 1-4fg 0-2ft,2014-11-29,Will Cherry,Home
PG,"Daniels, Troy",3,3500.0,hou,@ mil,117-103,2,3pt 1trey 1-1fg 0-0ft,2014-11-29,Troy Daniels,Away
PG,"Roberts, Brian",2.7,3800.0,cha,@ atl,75-105,17,0pt 1rb 1as 0-6fg 0-0ft,2014-11-29,Brian Roberts,Away
SG,"Sefolosha, Thabo",2.7,4400.0,atl,v cha,105-75,6,0pt 1rb 1as 0-2fg 0-0ft,2014-11-29,Thabo Sefolosha,Home
SG,"Johnson, Nick",1.2,3500.0,hou,@ mil,117-103,13,2pt 1rb 2to 1-5fg 0-0ft,2014-11-29,Nick Johnson,Away
PG,"Canaan, Isaiah",0,4800.0,hou,@ mil,117-103,0,0pt 0-0fg 0-0ft,2014-11-29,Isaiah Canaan,Away
PF,"Love, Kevin^",45,8200.0,cle,v ind,109-97,33,28pt 10rb 2as 2st 2to 2trey 9-13fg 8-9ft,2014-11-29,Kevin Love,Home
PF,"Davis, Anthony^",43.6,11800.0,nor,@ was,80-83,40,30pt 13rb 1st 4to 11-18fg 8-9ft,2014-11-29,Anthony Davis,Away
SF,"Hayward, Gordon^",41.5,7400.0,uta,v lac,96-112,36,30pt 5rb 3as 1st 1to 4trey 11-18fg 4-8ft,2014-11-29,Gordon Hayward,Home
SF,"McDaniels, K.J.",39.1,4100.0,phi,v dal,103-110,32,21pt 13rb 1as 1st 2bl 5to 2trey 8-17fg 3-3ft,2014-11-29,K McDaniels.J.,Home
PF,"Griffin, Blake^",38.7,9100.0,lac,@ uta,112-96,34,28pt 6rb 3as 1to 1trey 13-18fg 1-2ft,2014-11-29,Blake Griffin,Away
SF,"Parker, Jabari^",37.3,5600.0,mil,v hou,103-117,32,19pt 9rb 5as 2st 4to 3-7fg 13-14ft,2014-11-29,Jabari Parker,Home
PF,"Motiejunas, Donatas^",33.2,5400.0,hou,@ mil,117-103,31,20pt 6rb 4as 9-13fg 2-3ft,2014-11-29,Donatas Motiejunas,Away
SF,"Parsons, Chandler^",32.2,6100.0,dal,@ phi,110-103,36,17pt 6rb 6as 1to 3trey 7-19fg 0-0ft,2014-11-29,Chandler Parsons,Away
