SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,SITE,OPP_ID,OPP_ABBREVIATION,OPP_NAME,OPP_TOV_PCT,clean_DATE.x,LOOKUP,Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total,clean_DATE.y
2018-19,1610612744,GSW,Golden State Warriors,21800213,2018-11-15T00:00:00,GSW @ HOU,L,48,94.8,98.9,115.8,123,-20.9,-24.1,0.563,1.06,14.8,0.37,0.607,0.5,0.195,0.447,0.502,91.6,87,A,1610612745,HOU,Houston Rockets,0.092,2018-11-15,2018-11-15GSW,11/15/2018,501,GSW,HOU,95.6,1.09,1.17,-7.9,216,2018-11-15
2018-19,1610612759,SAS,San Antonio Spurs,21800215,2018-11-15T00:00:00,SAS @ LAC,L,48,106.7,108.8,112.2,114.9,-5.5,-6,0.463,3.8,13.4,0.328,0.714,0.496,0.049,0.442,0.487,103.7,101.5,A,1610612746,LAC,LA Clippers,0.119,2018-11-15,2018-11-15SAS,11/15/2018,505,SAS,LAC,98.7,1.1,1.15,-5.6,222.2,2018-11-15
2018-19,1610612737,ATL,Atlanta Hawks,21800214,2018-11-15T00:00:00,ATL @ DEN,L,48,86.2,87.7,126.6,127.8,-40.4,-40,0.625,1.05,14.1,0.254,0.667,0.419,0.179,0.397,0.448,108.4,107,A,1610612743,DEN,Denver Nuggets,0.139,2018-11-15,2018-11-15ATL,11/15/2018,503,ATL,DEN,101.2,1.03,1.18,-15.3,224.4,2018-11-15
2018-19,1610612763,MEM,Memphis Grizzlies,21800207,2018-11-14T00:00:00,MEM @ MIL,W,48,112,116,113.1,113,-1.1,3,0.571,1.71,18.3,0.205,0.744,0.471,0.14,0.59,0.62,101.7,100,A,1610612749,MIL,Milwaukee Bucks,0.16,2018-11-14,2018-11-14MEM,11/14/2018,715,MEM,MIL,97,1.05,1.14,-8.8,212.9,2018-11-14
2018-19,1610612765,DET,Detroit Pistons,21800206,2018-11-14T00:00:00,DET @ TOR,W,48,98.4,102.9,96.8,100,1.6,2.9,0.545,1.33,17.4,0.22,0.68,0.45,0.175,0.538,0.548,107.6,103.5,A,1610612761,TOR,Toronto Raptors,0.192,2018-11-14,2018-11-14DET,11/14/2018,707,DET,TOR,100,1.04,1.19,-14.6,222.4,2018-11-14
2018-19,1610612755,PHI,Philadelphia 76ers,21800202,2018-11-14T00:00:00,PHI @ ORL,L,48,108.6,109.3,116,113.3,-7.4,-4,0.78,2.13,22.9,0.255,0.833,0.528,0.155,0.558,0.572,96.6,97.5,A,1610612753,ORL,Orlando Magic,0.112,2018-11-14,2018-11-14PHI,11/14/2018,701,PHI,ORL,101.5,1.11,1.05,5.7,218.8,2018-11-14
2018-19,1610612757,POR,Portland Trail Blazers,21800212,2018-11-14T00:00:00,POR @ LAL,L,48,109.2,112.5,118.4,121.2,-9.2,-8.7,0.585,1.6,16.8,0.278,0.725,0.495,0.144,0.516,0.567,106.8,104,A,1610612747,LAL,Los Angeles Lakers,0.125,2018-11-14,2018-11-14POR,11/14/2018,721,POR,LAL,103.6,1.11,1.12,-1.3,231.3,2018-11-14
2018-19,1610612740,NOP,New Orleans Pelicans,21800208,2018-11-14T00:00:00,NOP @ MIN,L,48,91,95.2,101.4,100,-10.4,-4.8,0.625,1.39,17.1,0.286,0.745,0.514,0.171,0.473,0.491,107.7,106,A,1610612750,MIN,Minnesota Timberwolves,0.15,2018-11-14,2018-11-14NOP,11/14/2018,713,NOP,MIN,103.6,1.09,1.14,-4.6,231,2018-11-14
2018-19,1610612759,SAS,San Antonio Spurs,21800211,2018-11-14T00:00:00,SAS @ PHX,L,48,97.4,98,117.7,118.4,-20.3,-20.4,0.457,0.89,12.3,0.32,0.842,0.545,0.184,0.464,0.513,98.5,98,A,1610612756,PHX,Phoenix Suns,0.163,2018-11-14,2018-11-14SAS,11/14/2018,719,SAS,PHX,97,1.14,1.08,6.4,215.3,2018-11-14
2018-19,1610612739,CLE,Cleveland Cavaliers,21800203,2018-11-14T00:00:00,CLE @ WAS,L,48,89.9,91.3,108.7,114.4,-18.8,-23.1,0.629,0.92,15.8,0.283,0.66,0.485,0.231,0.481,0.524,107.5,104,A,1610612764,WAS,Washington Wizards,0.173,2018-11-14,2018-11-14CLE,11/14/2018,703,CLE,WAS,98.5,1.06,1.17,-10.6,220,2018-11-14
2018-19,1610612752,NYK,New York Knicks,21800209,2018-11-14T00:00:00,NYK @ OKC,L,48,96.2,101,123.9,123.1,-27.8,-22.1,0.462,1,13.5,0.25,0.652,0.439,0.176,0.483,0.525,105.2,103,A,1610612760,OKC,Oklahoma City Thunder,0.154,2018-11-14,2018-11-14NYK,11/14/2018,711,NYK,OKC,98,1.05,1.12,-6.6,213.2,2018-11-14
2018-19,1610612741,CHI,Chicago Bulls,21800204,2018-11-14T00:00:00,CHI @ BOS,L,48,79.6,79.6,108.7,106.7,-29,-27.1,0.485,0.73,12.6,0.157,0.833,0.485,0.214,0.435,0.466,102.6,103.5,A,1610612738,BOS,Boston Celtics,0.135,2018-11-14,2018-11-14CHI,11/14/2018,705,CHI,BOS,98.1,1.01,1.14,-12.5,211,2018-11-14
2018-19,1610612762,UTA,Utah Jazz,21800210,2018-11-14T00:00:00,UTA @ DAL,L,48,65.8,67.3,117.3,118,-51.6,-50.7,0.64,0.73,12.3,0.217,0.778,0.427,0.218,0.346,0.38,102,100.5,A,1610612742,DAL,Dallas Mavericks,0.2,2018-11-14,2018-11-14UTA,11/14/2018,717,UTA,DAL,97.8,1.1,1.03,7.5,208.4,2018-11-14
