"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-14503","C","Jonas","Jonas Valanciunas","Valanciunas","25.190000406901042","30","5000","TOR@BOS","TOR","BOS","O","Thumb","","",""
"32020-24247","PG","Fred","Fred VanVleet","VanVleet","22.57179455879407","39","5000","TOR@BOS","TOR","BOS","","","","",""
"32020-15560","PG","Shabazz","Shabazz Napier","Napier","16.00909053918087","33","5000","BKN@HOU","BKN","HOU","GTD","Hamstring","","",""
"32020-15592","SG","Austin","Austin Rivers","Rivers","17.039999389648436","40","5000","BKN@HOU","HOU","BKN","","","","",""
"32020-9758","SG","Danny","Danny Green","Green","20.881395916606106","43","4900","TOR@BOS","TOR","BOS","","","","",""
"32020-15947","SG","Reggie","Reggie Bullock","Bullock","19.673530129825366","34","4900","ORL@DET","DET","ORL","","","","",""
"32020-63126","SF","Cedi","Cedi Osman","Osman","21.776189894903276","42","4900","CLE@POR","CLE","POR","","","","",""
"32020-14512","PF","Marcus","Marcus Morris","Morris","25.84102532802484","39","4900","TOR@BOS","BOS","TOR","","","","",""
"32020-84667","PG","Collin","Collin Sexton","Sexton","21.902273004705254","44","4900","CLE@POR","CLE","POR","","","","",""
"32020-23407","PF","PJ","PJ Tucker","Tucker","21.32092994867369","43","4900","BKN@HOU","HOU","BKN","","","","",""
"32020-9787","SF","DeMarre","DeMarre Carroll","Carroll","18.624241684422348","33","4800","BKN@HOU","BKN","HOU","","","","",""
"32020-12362","C","DeMarcus","DeMarcus Cousins","Cousins","53.335418701171875","48","4800","NO@GS","GS","NO","O","Achilles","","",""
"32020-58576","C","Kevon","Kevon Looney","Looney","19.293182373046875","44","4800","NO@GS","GS","NO","","","","",""
"32020-40208","PG","Raul","Raul Neto","Neto","10.094737002724095","19","4800","UTA@LAC","UTA","LAC","O","Groin","","",""
"32020-16363","SF","Joe","Joe Harris","Harris","22.009756693025913","41","4800","BKN@HOU","BKN","HOU","","","","",""
"32020-15405","PF","JaMychal","JaMychal Green","Green","22.945160896547378","31","4700","MIL@MEM","MEM","MIL","","","","",""
"32020-23670","SG","Marcus","Marcus Smart","Smart","22.026189894903276","42","4700","TOR@BOS","BOS","TOR","GTD","Illness","","",""
"32020-9849","SF","Gerald","Gerald Green","Green","14.038461538461538","39","4700","BKN@HOU","HOU","BKN","","","","",""
"32020-23294","SF","Danuel","Danuel House","House","16.83199951171875","25","4700","BKN@HOU","HOU","BKN","","","","",""
"32020-81621","PF","Maxi","Maxi Kleber","Kleber","16.597368742290296","38","4600","SA@DAL","DAL","SA","","","","",""
"32020-9466","PG","D.J.","D.J. Augustin","Augustin","21.214285714285715","42","4600","ORL@DET","ORL","DET","","","","",""
"32020-18338","SF","Royce","Royce O'Neale","O'Neale","11.4022216796875","45","4600","UTA@LAC","UTA","LAC","","","","",""
"32020-9799","SG","Wesley","Wesley Matthews","Matthews","21.497297957136823","37","4500","SA@DAL","DAL","SA","","","","",""
"32020-12359","SF","Evan","Evan Turner","Turner","20.397727272727273","44","4500","CLE@POR","POR","CLE","","","","",""
"32020-42677","PG","Terry","Terry Rozier","Rozier","20.1953494049782","43","4500","TOR@BOS","BOS","TOR","","","","",""
"32020-12474","PG","Patrick","Patrick Beverley","Beverley","18.432557571765987","43","4500","UTA@LAC","LAC","UTA","","","","",""
"32020-14543","SF","Davis","Davis Bertans","Bertans","15.5926826290968","41","4500","SA@DAL","SA","DAL","","","","",""
"32020-84700","PF","Rodions","Rodions Kurucs","Kurucs","16.20357186453683","28","4500","BKN@HOU","BKN","HOU","","","","",""
"32020-80811","SF","Jonathan","Jonathan Isaac","Isaac","19.278378048458613","37","4500","ORL@DET","ORL","DET","","","","",""
"32020-14533","PG","Shelvin","Shelvin Mack","Mack","16.865853658536587","41","4400","MIL@MEM","MEM","MIL","","","","",""
"32020-15800","SF","Jae","Jae Crowder","Crowder","22.26363580877131","44","4400","UTA@LAC","UTA","LAC","","","","",""
"32020-67026","SG","Jaylen","Jaylen Brown","Brown","22.194737484580592","38","4400","TOR@BOS","BOS","TOR","","","","",""
"32020-14554","SF","E'Twaun","E'Twaun Moore","Moore","20.633333646334133","39","4300","NO@GS","NO","GS","","","","",""
"32020-23788","PG","Bryn","Bryn Forbes","Forbes","19.93777804904514","45","4300","SA@DAL","SA","DAL","","","","",""
"32020-9495","PG","J.J.","J.J. Barea","Barea","22.17105263157895","38","4300","SA@DAL","DAL","SA","O","Achilles","","",""
"32020-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","9.176923311673677","26","4300","UTA@LAC","UTA","LAC","O","Hamstring","","",""
"32020-9664","SG","Andre","Andre Iguodala","Iguodala","18.443589430588943","39","4300","NO@GS","GS","NO","","","","",""
"32020-15501","SG","Allen","Allen Crabbe","Crabbe","16.764285496303014","28","4200","BKN@HOU","BKN","HOU","O","Knee","","",""
"32020-15904","SF","Rodney","Rodney Hood","Hood","20.805555555555557","36","4100","CLE@POR","CLE","POR","","","","",""
"32020-12365","PF","Ed","Ed Davis","Davis","19.11136419122869","44","4100","BKN@HOU","BKN","HOU","","","","",""
"32020-12511","PG","Ish","Ish Smith","Smith","17.113043743631113","23","4100","ORL@DET","DET","ORL","","","","",""
"32020-16178","SF","Maurice","Maurice Harkless","Harkless","16.88076899601863","26","4100","CLE@POR","POR","CLE","GTD","Knee","","",""
"32020-11074","SG","Garrett","Garrett Temple","Temple","19.04883664153343","43","4100","MIL@MEM","MEM","MIL","","","","",""
"32020-9870","SG","Kyle","Kyle Korver","Korver","12.928205441205929","39","4000","UTA@LAC","UTA","LAC","","","","",""
"32020-15669","PF","Meyers","Meyers Leonard","Leonard","13.328571137927828","42","4000","CLE@POR","POR","CLE","","","","",""
"32020-9715","SG","Marco","Marco Belinelli","Belinelli","16.958139818768167","43","4000","SA@DAL","SA","DAL","GTD","Knee","","",""
"32020-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","17.302325581395348","43","4000","SA@DAL","DAL","SA","","","","",""
"32020-81529","PF","Daniel","Daniel Theis","Theis","15.818181818181818","33","3900","TOR@BOS","BOS","TOR","","","","",""
"32020-41082","C","Damian","Damian Jones","Jones","14.875","24","3900","NO@GS","GS","NO","O","Pectoral","","",""
"32020-70824","C","Ante","Ante Zizic","Zizic","10.37857164655413","28","3900","CLE@POR","CLE","POR","","","","",""
"32020-84675","C","Mohamed","Mohamed Bamba","Bamba","17.8025637895633","39","3900","ORL@DET","ORL","DET","GTD","Foot","","",""
"32020-15582","PG","Quinn","Quinn Cook","Cook","13.82368388928865","38","3900","NO@GS","GS","NO","","","","",""
"32020-9483","C","Joakim","Joakim Noah","Noah","11.344444274902344","18","3900","MIL@MEM","MEM","MIL","","","","",""
"32020-16196","PF","Dwight","Dwight Powell","Powell","17.653846153846153","39","3900","SA@DAL","DAL","SA","","","","",""
"32020-70820","C","Thon","Thon Maker","Maker","11.360605875651041","33","3800","MIL@MEM","MIL","MEM","","","","",""
"32020-14521","PF","Kenneth","Kenneth Faried","Faried","10.733333587646484","12","3800","BKN@HOU","BKN","HOU","","","","",""
"32020-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","20.397673850835755","43","3800","UTA@LAC","LAC","UTA","","","","",""
"32020-16081","PF","Khem","Khem Birch","Birch","8.389473362972861","19","3800","ORL@DET","ORL","DET","","","","",""
"32020-9939","PG","Patty","Patty Mills","Mills","17.806666395399304","45","3800","SA@DAL","SA","DAL","","","","",""
"32020-84694","SG","Bruce","Bruce Brown","Brown","12.925714111328125","35","3800","ORL@DET","DET","ORL","","","","",""
"32020-9512","C","","Nene","Nene","10.549999660915798","18","3800","BKN@HOU","HOU","BKN","","","","",""
"32020-60233","SG","Dillon","Dillon Brooks","Brooks","12.177777608235678","18","3800","MIL@MEM","MEM","MIL","O","Toe","","",""
"32020-15762","SF","Darius","Darius Miller","Miller","13.543590056590546","39","3800","NO@GS","NO","GS","","","","",""
"32020-80815","PF","Zach","Zach Collins","Collins","16.295555284288195","45","3800","CLE@POR","POR","CLE","","","","",""
"32020-68090","SF","OG","OG Anunoby","Anunoby","14.323076297075321","39","3800","TOR@BOS","TOR","BOS","O","Personal","","",""
